,location,date,time,harassment_type,reported_by,description
563,"New York City, USA",2022-04-13,06:31:03,traffic_violation,victim,"An individual ran a red light, causing a near accident."
564,"Sheffield, UK",2021-06-15,23:43:56,kidnapping,victim,Police rescued an individual who had been kidnapped for days.
565,"Los Angeles, USA",2024-04-02,15:26:57,vandalism,non-victim,The victim’s home was vandalized overnight by unknown individuals.
566,"London, UK",2024-06-25,09:36:27,drug_offense,victim,An individual was found in possession of narcotics during a search.
567,"Sapporo, Japan",2022-07-11,20:22:13,counterfeiting,non-victim,The suspect was caught selling counterfeit goods online.
568,"Gwalior, India",2023-08-31,05:56:01,vehicle_stolen,non-victim,The victim’s motorcycle was taken while parked outside a store.
569,"Kota, India",2023-11-30,17:05:50,illegal_possession,victim,The victim reported unlawful items in a neighbor’s possession.
570,"Jodhpur, India",2021-09-14,18:10:23,traffic_violation,non-victim,"An individual ran a red light, causing a near accident."
571,"Visakhapatnam, India",2021-04-20,08:34:19,vandalism,non-victim,The victim’s home was vandalized overnight by unknown individuals.
572,"Newcastle, Australia",2021-11-06,13:45:49,assault,victim,A suspect punched and kicked the victim during an altercation.
573,"Nagoya, Japan",2021-04-08,00:53:32,cybercrime,victim,The victim’s social media account was hacked and misused.
574,"Srinagar, India",2021-12-26,08:07:06,homicide,non-victim,A suspect was arrested in connection with a murder case.
575,"Howrah, India",2020-06-16,06:44:56,counterfeiting,victim,The suspect was caught selling counterfeit goods online.
576,"Cardiff, UK",2023-06-23,07:29:11,traffic_violation,non-victim,"An individual ran a red light, causing a near accident."
577,"Brisbane, Australia",2021-12-01,20:05:50,fraud,non-victim,A business reported fraudulent transactions in their records.
578,"Philadelphia, USA",2020-08-01,08:47:50,homicide,victim,A suspect was arrested in connection with a murder case.
579,"Varanasi, India",2020-04-17,16:18:27,identity_theft,non-victim,A suspect was caught using someone else’s credentials illegally.
580,"Liverpool, UK",2022-09-01,02:41:33,domestic_violence,victim,A suspect was arrested for assaulting their spouse.
581,"Glasgow, UK",2020-10-18,17:07:27,sexual_assault,non-victim,A suspect was arrested for inappropriate behavior towards a minor.
582,"Vijayawada, India",2020-10-25,08:48:33,traffic_violation,non-victim,A driver was caught speeding in a restricted area.
583,"Bhopal, India",2023-12-08,20:36:57,arson,non-victim,"A building was deliberately set on fire, causing significant damage."
584,"Kolkata, India",2024-06-05,22:31:04,traffic_violation,non-victim,A driver was caught speeding in a restricted area.
585,"Chandigarh, India",2022-02-16,19:29:22,vehicle_stolen,victim,The victim’s motorcycle was taken while parked outside a store.
586,"Hyderabad, India",2021-02-12,17:18:27,vandalism,non-victim,The victim’s home was vandalized overnight by unknown individuals.
587,"Navi Mumbai, India",2023-12-22,18:55:46,public_intoxication,victim,The suspect was found heavily drunk and creating a scene.
588,"Phoenix, USA",2021-04-21,22:43:59,extortion,victim,A suspect blackmailed a businessman for protection fees.
589,"Kawasaki, Japan",2024-12-01,02:11:58,cybercrime,non-victim,The victim’s social media account was hacked and misused.
590,"Vadodara, India",2020-08-27,10:20:21,arson,non-victim,"A building was deliberately set on fire, causing significant damage."
591,"Kolkata, India",2022-06-01,05:11:26,assault,non-victim,A suspect punched and kicked the victim during an altercation.
592,"Kyoto, Japan",2024-07-10,23:00:19,kidnapping,non-victim,A child was abducted near a school by an unknown suspect.
593,"Osaka, Japan",2024-07-24,12:47:07,burglary,non-victim,A suspect broke into the victim's house and stole valuables.
594,"Pune, India",2023-10-01,23:08:30,fraud,victim,A business reported fraudulent transactions in their records.
595,"Leeds, UK",2023-02-10,22:13:37,illegal_possession,non-victim,A suspect was arrested for possessing illegal substances.
596,"Lucknow, India",2022-06-14,04:04:43,identity_theft,non-victim,The victim’s personal details were used to open fake bank accounts.
597,"Agra, India",2022-02-25,02:06:42,vandalism,non-victim,The victim’s home was vandalized overnight by unknown individuals.
598,"San Antonio, USA",2021-01-09,07:49:32,robbery,victim,A store was robbed at gunpoint late at night.
599,"Kobe, Japan",2021-05-16,03:49:41,extortion,non-victim,The victim was coerced into handing over valuable property.
600,"Strasbourg, France",2021-07-15,00:05:22,burglary,victim,Burglars were caught on CCTV entering a local business at night.
601,"Nagpur, India",2021-09-08,19:04:55,drug_offense,victim,An individual was found in possession of narcotics during a search.
602,"Chennai, India",2021-11-21,02:18:16,burglary,non-victim,A suspect broke into the victim's house and stole valuables.
603,"Navi Mumbai, India",2023-07-15,09:42:27,arson,non-victim,"A building was deliberately set on fire, causing significant damage."
604,"Srinagar, India",2020-03-08,19:40:53,illegal_possession,victim,A suspect was arrested for possessing illegal substances.
605,"Rajkot, India",2020-06-24,17:46:29,vandalism,victim,Public property was defaced with graffiti and damage.
606,"Allahabad, India",2024-09-24,11:02:55,illegal_possession,victim,Police confiscated unauthorized materials from the suspect.
607,"Chicago, USA",2021-04-05,20:08:06,illegal_possession,non-victim,The victim reported unlawful items in a neighbor’s possession.
608,"Vadodara, India",2021-03-11,02:07:56,burglary,non-victim,A suspect broke into the victim's house and stole valuables.
609,"Kyoto, Japan",2024-06-03,07:45:16,drug_offense,non-victim,An individual was found in possession of narcotics during a search.
610,"Cardiff, UK",2023-08-03,03:25:48,vandalism,non-victim,Public property was defaced with graffiti and damage.
611,"Dhanbad, India",2022-02-09,18:45:42,burglary,non-victim,A suspect broke into the victim's house and stole valuables.
612,"Ranchi, India",2023-10-30,15:52:46,counterfeiting,non-victim,Fake currency notes were found in a local shop.
613,"Manchester, UK",2024-12-21,22:18:24,robbery,non-victim,The victim was attacked and had their wallet taken by force.
614,"Howrah, India",2022-10-26,07:20:19,public_intoxication,victim,A disorderly individual was escorted away by authorities.
615,"Birmingham, UK",2021-08-19,12:05:41,robbery,victim,A suspect threatened the victim and stole their belongings.
616,"Dallas, USA",2024-12-17,16:35:34,robbery,victim,A suspect threatened the victim and stole their belongings.
617,"Vadodara, India",2022-11-02,22:26:20,robbery,non-victim,A store was robbed at gunpoint late at night.
618,"Adelaide, Australia",2023-02-22,16:08:03,identity_theft,non-victim,An individual’s identity was stolen for online fraud.
619,"Ranchi, India",2024-11-10,01:59:13,drug_offense,victim,Police seized a large quantity of banned drugs.
620,"Bangalore, India",2024-11-10,02:27:15,shoplifting,victim,The victim’s business suffered repeated theft incidents.
621,"Wollongong, Australia",2023-05-18,14:54:01,vehicle_stolen,victim,A suspect stole a car from a parking lot.
622,"Brisbane, Australia",2021-08-26,13:59:46,extortion,non-victim,The victim was coerced into handing over valuable property.
623,"Paris, France",2022-07-20,20:09:33,assault,non-victim,The victim sustained injuries after being assaulted by a stranger.
624,"Varanasi, India",2024-04-23,21:03:28,domestic_violence,victim,The victim reported repeated physical abuse at home.
625,"Kyoto, Japan",2023-10-15,21:51:44,assault,victim,The victim was physically attacked in a public area.
626,"Edinburgh, UK",2020-08-31,02:31:58,counterfeiting,victim,The suspect was caught selling counterfeit goods online.
627,"Meerut, India",2024-07-04,09:23:55,arson,non-victim,"A building was deliberately set on fire, causing significant damage."
628,"Aurangabad, India",2024-01-02,23:37:10,drug_offense,victim,Police seized a large quantity of banned drugs.
629,"Nagoya, Japan",2023-01-07,12:30:37,homicide,victim,A suspect was arrested in connection with a murder case.
630,"Hubli-Dharwad, India",2021-09-26,18:29:58,illegal_possession,victim,The victim reported unlawful items in a neighbor’s possession.
631,"Kalyan-Dombivli, India",2020-12-16,21:56:03,counterfeiting,victim,Fake currency notes were found in a local shop.
632,"Ahmedabad, India",2020-03-13,08:26:33,drug_offense,victim,An individual was found in possession of narcotics during a search.
633,"Visakhapatnam, India",2021-05-24,13:12:54,vandalism,non-victim,Public property was defaced with graffiti and damage.
634,"Leeds, UK",2021-11-20,09:24:26,domestic_violence,victim,The victim suffered emotional and physical abuse over months.
635,"Howrah, India",2021-12-13,19:56:17,assault,non-victim,The victim was physically attacked in a public area.
636,"Kobe, Japan",2020-01-09,08:21:50,assault,victim,A suspect punched and kicked the victim during an altercation.
637,"Kota, India",2024-05-17,02:27:54,fraud,victim,A suspect created false documents to claim financial benefits.
638,"Ahmedabad, India",2024-10-04,06:20:57,shoplifting,non-victim,Store security apprehended an individual for shoplifting.
639,"Thane, India",2023-05-19,11:17:17,kidnapping,victim,A child was abducted near a school by an unknown suspect.
640,"Leeds, UK",2024-05-22,01:20:13,extortion,victim,A suspect blackmailed a businessman for protection fees.
641,"Nice, France",2021-03-06,14:25:09,counterfeiting,non-victim,A large batch of fake identification documents was seized.
642,"Pimpri-Chinchwad, India",2024-12-08,06:30:06,traffic_violation,non-victim,A driver was caught speeding in a restricted area.
643,"Kanpur, India",2020-11-30,04:48:16,counterfeiting,victim,A large batch of fake identification documents was seized.
644,"San Diego, USA",2024-06-10,05:49:12,fraud,non-victim,A business reported fraudulent transactions in their records.
645,"Ghaziabad, India",2024-11-22,07:15:18,robbery,victim,The victim was attacked and had their wallet taken by force.
646,"Sapporo, Japan",2024-08-03,04:20:28,sexual_assault,non-victim,The victim was harassed in a public place by an unknown person.
647,"Patna, India",2024-02-28,00:29:37,shoplifting,non-victim,A suspect was caught stealing items from a retail store.
648,"Yokohama, Japan",2021-10-28,05:53:46,drug_offense,non-victim,An individual was found in possession of narcotics during a search.
649,"Nice, France",2020-09-06,17:45:38,vandalism,victim,The victim’s home was vandalized overnight by unknown individuals.
650,"Sydney, Australia",2024-09-07,00:57:06,sexual_assault,victim,A suspect was arrested for inappropriate behavior towards a minor.
651,"Houston, USA",2023-05-25,19:25:48,robbery,non-victim,The victim was attacked and had their wallet taken by force.
652,"Bangalore, India",2024-12-13,08:38:55,vehicle_stolen,non-victim,A suspect stole a car from a parking lot.
653,"Dhanbad, India",2021-12-17,17:49:40,assault,victim,A suspect punched and kicked the victim during an altercation.
654,"Kolkata, India",2024-03-28,20:25:53,kidnapping,non-victim,Police rescued an individual who had been kidnapped for days.
655,"San Antonio, USA",2020-07-27,15:09:56,public_intoxication,victim,The suspect was found heavily drunk and creating a scene.
656,"Canberra, Australia",2020-01-28,14:51:19,counterfeiting,victim,Fake currency notes were found in a local shop.
657,"Hyderabad, India",2023-09-09,08:10:00,kidnapping,victim,The victim was forcefully taken and held for ransom.
658,"New York City, USA",2020-09-20,22:19:21,domestic_violence,victim,The victim suffered emotional and physical abuse over months.
659,"Bordeaux, France",2021-03-29,17:25:55,burglary,non-victim,The victim reported unauthorized entry into their apartment.
660,"Sapporo, Japan",2024-03-15,22:03:25,traffic_violation,non-victim,A driver was caught speeding in a restricted area.
661,"Madurai, India",2021-07-25,17:09:44,identity_theft,non-victim,An individual’s identity was stolen for online fraud.
662,"Allahabad, India",2023-06-10,10:38:10,firearm_offense,non-victim,Police arrested an individual for illegal firearm possession.
663,"Toulouse, France",2024-10-20,15:10:32,cybercrime,non-victim,Personal data was stolen through an online scam.
664,"Chicago, USA",2024-07-23,00:23:32,kidnapping,victim,The victim was forcefully taken and held for ransom.
665,"New York City, USA",2021-07-22,21:33:15,vehicle_stolen,non-victim,The victim’s motorcycle was taken while parked outside a store.
666,"Logan City, Australia",2025-01-19,06:57:36,illegal_possession,non-victim,The victim reported unlawful items in a neighbor’s possession.
667,"Liverpool, UK",2022-06-24,20:13:31,identity_theft,non-victim,A suspect was caught using someone else’s credentials illegally.
668,"Wollongong, Australia",2021-08-12,09:37:37,identity_theft,non-victim,An individual’s identity was stolen for online fraud.
